example_id                                                     | status | run_time        |
-------------------------------------------------------------- | ------ | --------------- |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:1:1]           | passed | 0.00036 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:2:1]           | passed | 0.00011 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:2:2]           | passed | 0.00007 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:2:3]           | passed | 0.00044 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:2:4]           | passed | 0.00007 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:3:1]           | passed | 0.00007 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:3:2]           | passed | 0.00024 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:3:3]           | passed | 0.00015 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:4:1]           | passed | 0.0001 seconds  |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:4:2]           | passed | 0.00015 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:5:1]           | passed | 0.00007 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:5:2]           | passed | 0.00013 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:6:1]           | passed | 0.0001 seconds  |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:6:2]           | passed | 0.00272 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:7:1]           | passed | 0.00033 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:8:1]           | passed | 0.00004 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:8:2]           | passed | 0.00005 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:9:1]           | passed | 0.00007 seconds |
./spec/ruby_llm_speech/chat_extension_spec.rb[1:9:2]           | passed | 0.0006 seconds  |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:1:1]  | passed | 0.00004 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:1:2]  | passed | 0.00004 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:2:1]  | passed | 0.00005 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:2:2]  | passed | 0.00004 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:3:1]  | passed | 0.00005 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:4:1]  | passed | 0.00004 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:5:1]  | passed | 0.00005 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:6:1]  | passed | 0.00006 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:7:1]  | passed | 0.00006 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:8:1]  | passed | 0.00009 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:8:2]  | passed | 0.00005 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:8:3]  | passed | 0.00006 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:8:4]  | passed | 0.02029 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:9:1]  | passed | 0.00006 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:10:1] | passed | 0.00005 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:10:2] | passed | 0.00007 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:10:3] | passed | 0.0001 seconds  |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:11:1] | passed | 0.00005 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:12:1] | passed | 0.00032 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:12:2] | passed | 0.00035 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:13:1] | passed | 0.00006 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:14:1] | passed | 0.00005 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[1:14:2] | passed | 0.00004 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[2:1:1]  | passed | 0.00047 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[2:1:2]  | passed | 0.00006 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[2:2:1]  | passed | 0.00005 seconds |
./spec/ruby_llm_speech/conversation_transcript_spec.rb[2:3:1]  | passed | 0.00004 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:1:1]         | passed | 0.00006 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:1:2]         | passed | 0.00006 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:2:1]         | passed | 0.00106 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:2:2]         | passed | 0.0002 seconds  |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:3:1]         | passed | 0.00011 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:3:2]         | passed | 0.00028 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:4:1]         | passed | 0.00007 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:4:2]         | passed | 0.00008 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:5:1]         | passed | 0.00011 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:6:1]         | passed | 0.00008 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:7:1]         | passed | 0.0001 seconds  |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:7:2]         | passed | 0.00225 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:7:3]         | passed | 0.00023 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:8:1:1]       | passed | 0.00005 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:8:1:2]       | passed | 0.00006 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:8:2:1]       | passed | 0.00004 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:8:2:2]       | passed | 0.00006 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:8:2:3]       | passed | 0.00009 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:8:3:1]       | passed | 0.00007 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:8:3:2]       | passed | 0.00007 seconds |
./spec/ruby_llm_speech/tool_integration_spec.rb[1:8:3:3]       | passed | 0.00065 seconds |
./spec/ruby_llm_speech_spec.rb[1:1]                            | passed | 0.00061 seconds |
./spec/ruby_llm_speech_spec.rb[1:2:1]                          | passed | 0.00003 seconds |
./spec/ruby_llm_speech_spec.rb[1:2:2]                          | passed | 0.00003 seconds |
./spec/ruby_llm_speech_spec.rb[1:2:3]                          | passed | 0.00006 seconds |
./spec/ruby_llm_speech_spec.rb[1:2:4]                          | passed | 0.00004 seconds |
